Core CO BTS - 2014,,,,,,,,,,,,,,,,,,,,,,,,,
 Sample,CO1_%C,CO1_d13C,CO1_%N,CO1_d15N,CO1_C/N,CO2_%C,CO2_d13C,CO2_%N,CO2_d15N,CO2_C/N,CO3_%C,CO3_d13C,CO3_%N,CO3_d15N,CO3_C/N,CO4_%C,CO4_d13C,CO4_%N,CO4_d15N,CO4_C/N,CO5_%C,CO5_d13C,CO5_%N,CO5_d15N,CO5_C/N
CO.35,1.968837754,-25.4,0.17,5.1,11.58139855,1.49,-23.47,0.18,5.65,8.3,NaN,-22.42,0.16,5.35,NaN,1.084457041,-22.72,0.2,4.72,5.4,0.759648271,-20.59,0.16,5.13,4.747801694
CO.39,1.549396124,-24.92,0.16,4.85,9.683725773,1.38,-22.22,0.18,5.91,7.7,NaN,-22.47,0.17,5.25,NaN,0.991905995,-22.66,0.2,5.26,5,0.73115576,-20.51,0.18,5.84,4.061976444
CO.43,2.610836343,-25.77,0.19,4.83,13.74124391,1.29,-23.36,0.18,5.86,7.2,NaN,-23.12,0.16,5.16,NaN,1.076427221,-22.61,0.19,4.76,5.7,0.695509331,-20.74,0.18,5.53,3.863940728
CO.47,2.916552503,-25.96,0.2,4.43,14.58276251,1.32,-23.38,0.18,5.82,7.3,NaN,-23.37,0.19,5.61,NaN,1.051411744,-21.99,0.2,4.95,5.3,0.717590572,-21.61,0.18,5.12,3.986614289
CO.51,3.012502748,-26.09,0.2,4.48,15.06251374,1.13,-22.87,0.17,6.19,6.6,NaN,-23.07,0.19,5.34,NaN,0.976914571,-21.93,0.19,4.63,5.1,0.743635111,-20.92,0.18,5.42,4.131306172
CO.55,3.286926295,-26.13,0.2,4.76,16.43463148,1.1,-22.56,0.17,5.85,6.5,NaN,-23.54,0.19,5.01,NaN,1.0045115,-22.21,0.2,4.41,5,0.826678024,-21.08,0.18,5.43,4.592655689
CO.60,3.040660965,-26.2,0.19,4.4,16.00347877,1.03,-22.14,0.16,5.85,6.4,NaN,-23.52,0.19,5.59,NaN,0.999980714,-22.59,0.19,4.84,5.3,0.827944391,-21.13,0.18,5.4,4.599691061
CO.61,NaN,NaN,NaN,NaN,NaN,0.93,-22.34,0.16,5.54,5.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-23.34,0.18,5.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO.64,3.062122813,-26.37,0.2,3.9,15.31061407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.733384088,-20.74,NaN,NaN,NaN
